"sim","rank","abund","nparts","s0","n0"
1,1,1,"792",34,55
1,2,1,"792",34,55
1,3,1,"792",34,55
1,4,1,"792",34,55
1,5,1,"792",34,55
1,6,1,"792",34,55
1,7,1,"792",34,55
1,8,1,"792",34,55
1,9,1,"792",34,55
1,10,1,"792",34,55
1,11,1,"792",34,55
1,12,1,"792",34,55
1,13,1,"792",34,55
1,14,1,"792",34,55
1,15,1,"792",34,55
1,16,1,"792",34,55
1,17,1,"792",34,55
1,18,1,"792",34,55
1,19,1,"792",34,55
1,20,1,"792",34,55
1,21,1,"792",34,55
1,22,1,"792",34,55
1,23,1,"792",34,55
1,24,1,"792",34,55
1,25,1,"792",34,55
1,26,1,"792",34,55
1,27,1,"792",34,55
1,28,1,"792",34,55
1,29,1,"792",34,55
1,30,2,"792",34,55
1,31,5,"792",34,55
1,32,5,"792",34,55
1,33,7,"792",34,55
1,34,7,"792",34,55
2,1,1,"792",34,55
2,2,1,"792",34,55
2,3,1,"792",34,55
2,4,1,"792",34,55
2,5,1,"792",34,55
2,6,1,"792",34,55
2,7,1,"792",34,55
2,8,1,"792",34,55
2,9,1,"792",34,55
2,10,1,"792",34,55
2,11,1,"792",34,55
2,12,1,"792",34,55
2,13,1,"792",34,55
2,14,1,"792",34,55
2,15,1,"792",34,55
2,16,1,"792",34,55
2,17,1,"792",34,55
2,18,1,"792",34,55
2,19,1,"792",34,55
2,20,1,"792",34,55
2,21,1,"792",34,55
2,22,1,"792",34,55
2,23,1,"792",34,55
2,24,2,"792",34,55
2,25,2,"792",34,55
2,26,2,"792",34,55
2,27,2,"792",34,55
2,28,2,"792",34,55
2,29,2,"792",34,55
2,30,2,"792",34,55
2,31,3,"792",34,55
2,32,5,"792",34,55
2,33,5,"792",34,55
2,34,5,"792",34,55
3,1,1,"792",34,55
3,2,1,"792",34,55
3,3,1,"792",34,55
3,4,1,"792",34,55
3,5,1,"792",34,55
3,6,1,"792",34,55
3,7,1,"792",34,55
3,8,1,"792",34,55
3,9,1,"792",34,55
3,10,1,"792",34,55
3,11,1,"792",34,55
3,12,1,"792",34,55
3,13,1,"792",34,55
3,14,1,"792",34,55
3,15,1,"792",34,55
3,16,1,"792",34,55
3,17,1,"792",34,55
3,18,1,"792",34,55
3,19,1,"792",34,55
3,20,1,"792",34,55
3,21,1,"792",34,55
3,22,1,"792",34,55
3,23,1,"792",34,55
3,24,1,"792",34,55
3,25,1,"792",34,55
3,26,1,"792",34,55
3,27,2,"792",34,55
3,28,2,"792",34,55
3,29,2,"792",34,55
3,30,2,"792",34,55
3,31,2,"792",34,55
3,32,3,"792",34,55
3,33,5,"792",34,55
3,34,11,"792",34,55
4,1,1,"792",34,55
4,2,1,"792",34,55
4,3,1,"792",34,55
4,4,1,"792",34,55
4,5,1,"792",34,55
4,6,1,"792",34,55
4,7,1,"792",34,55
4,8,1,"792",34,55
4,9,1,"792",34,55
4,10,1,"792",34,55
4,11,1,"792",34,55
4,12,1,"792",34,55
4,13,1,"792",34,55
4,14,1,"792",34,55
4,15,1,"792",34,55
4,16,1,"792",34,55
4,17,1,"792",34,55
4,18,1,"792",34,55
4,19,1,"792",34,55
4,20,1,"792",34,55
4,21,1,"792",34,55
4,22,1,"792",34,55
4,23,1,"792",34,55
4,24,1,"792",34,55
4,25,1,"792",34,55
4,26,1,"792",34,55
4,27,1,"792",34,55
4,28,1,"792",34,55
4,29,2,"792",34,55
4,30,3,"792",34,55
4,31,4,"792",34,55
4,32,5,"792",34,55
4,33,6,"792",34,55
4,34,7,"792",34,55
5,1,1,"792",34,55
5,2,1,"792",34,55
5,3,1,"792",34,55
5,4,1,"792",34,55
5,5,1,"792",34,55
5,6,1,"792",34,55
5,7,1,"792",34,55
5,8,1,"792",34,55
5,9,1,"792",34,55
5,10,1,"792",34,55
5,11,1,"792",34,55
5,12,1,"792",34,55
5,13,1,"792",34,55
5,14,1,"792",34,55
5,15,1,"792",34,55
5,16,1,"792",34,55
5,17,1,"792",34,55
5,18,1,"792",34,55
5,19,1,"792",34,55
5,20,1,"792",34,55
5,21,1,"792",34,55
5,22,1,"792",34,55
5,23,1,"792",34,55
5,24,1,"792",34,55
5,25,1,"792",34,55
5,26,1,"792",34,55
5,27,1,"792",34,55
5,28,1,"792",34,55
5,29,1,"792",34,55
5,30,1,"792",34,55
5,31,1,"792",34,55
5,32,3,"792",34,55
5,33,3,"792",34,55
5,34,18,"792",34,55
6,1,1,"792",34,55
6,2,1,"792",34,55
6,3,1,"792",34,55
6,4,1,"792",34,55
6,5,1,"792",34,55
6,6,1,"792",34,55
6,7,1,"792",34,55
6,8,1,"792",34,55
6,9,1,"792",34,55
6,10,1,"792",34,55
6,11,1,"792",34,55
6,12,1,"792",34,55
6,13,1,"792",34,55
6,14,1,"792",34,55
6,15,1,"792",34,55
6,16,1,"792",34,55
6,17,1,"792",34,55
6,18,1,"792",34,55
6,19,1,"792",34,55
6,20,1,"792",34,55
6,21,1,"792",34,55
6,22,1,"792",34,55
6,23,1,"792",34,55
6,24,1,"792",34,55
6,25,1,"792",34,55
6,26,1,"792",34,55
6,27,2,"792",34,55
6,28,3,"792",34,55
6,29,3,"792",34,55
6,30,3,"792",34,55
6,31,3,"792",34,55
6,32,3,"792",34,55
6,33,5,"792",34,55
6,34,7,"792",34,55
7,1,1,"792",34,55
7,2,1,"792",34,55
7,3,1,"792",34,55
7,4,1,"792",34,55
7,5,1,"792",34,55
7,6,1,"792",34,55
7,7,1,"792",34,55
7,8,1,"792",34,55
7,9,1,"792",34,55
7,10,1,"792",34,55
7,11,1,"792",34,55
7,12,1,"792",34,55
7,13,1,"792",34,55
7,14,1,"792",34,55
7,15,1,"792",34,55
7,16,1,"792",34,55
7,17,1,"792",34,55
7,18,1,"792",34,55
7,19,1,"792",34,55
7,20,1,"792",34,55
7,21,1,"792",34,55
7,22,1,"792",34,55
7,23,1,"792",34,55
7,24,1,"792",34,55
7,25,1,"792",34,55
7,26,1,"792",34,55
7,27,1,"792",34,55
7,28,3,"792",34,55
7,29,3,"792",34,55
7,30,3,"792",34,55
7,31,3,"792",34,55
7,32,3,"792",34,55
7,33,6,"792",34,55
7,34,7,"792",34,55
8,1,1,"792",34,55
8,2,1,"792",34,55
8,3,1,"792",34,55
8,4,1,"792",34,55
8,5,1,"792",34,55
8,6,1,"792",34,55
8,7,1,"792",34,55
8,8,1,"792",34,55
8,9,1,"792",34,55
8,10,1,"792",34,55
8,11,1,"792",34,55
8,12,1,"792",34,55
8,13,1,"792",34,55
8,14,1,"792",34,55
8,15,1,"792",34,55
8,16,1,"792",34,55
8,17,1,"792",34,55
8,18,2,"792",34,55
8,19,2,"792",34,55
8,20,2,"792",34,55
8,21,2,"792",34,55
8,22,2,"792",34,55
8,23,2,"792",34,55
8,24,2,"792",34,55
8,25,2,"792",34,55
8,26,2,"792",34,55
8,27,2,"792",34,55
8,28,2,"792",34,55
8,29,2,"792",34,55
8,30,2,"792",34,55
8,31,2,"792",34,55
8,32,3,"792",34,55
8,33,3,"792",34,55
8,34,4,"792",34,55
9,1,1,"792",34,55
9,2,1,"792",34,55
9,3,1,"792",34,55
9,4,1,"792",34,55
9,5,1,"792",34,55
9,6,1,"792",34,55
9,7,1,"792",34,55
9,8,1,"792",34,55
9,9,1,"792",34,55
9,10,1,"792",34,55
9,11,1,"792",34,55
9,12,1,"792",34,55
9,13,1,"792",34,55
9,14,1,"792",34,55
9,15,1,"792",34,55
9,16,1,"792",34,55
9,17,1,"792",34,55
9,18,1,"792",34,55
9,19,2,"792",34,55
9,20,2,"792",34,55
9,21,2,"792",34,55
9,22,2,"792",34,55
9,23,2,"792",34,55
9,24,2,"792",34,55
9,25,2,"792",34,55
9,26,2,"792",34,55
9,27,2,"792",34,55
9,28,2,"792",34,55
9,29,2,"792",34,55
9,30,2,"792",34,55
9,31,2,"792",34,55
9,32,3,"792",34,55
9,33,3,"792",34,55
9,34,5,"792",34,55
10,1,1,"792",34,55
10,2,1,"792",34,55
10,3,1,"792",34,55
10,4,1,"792",34,55
10,5,1,"792",34,55
10,6,1,"792",34,55
10,7,1,"792",34,55
10,8,1,"792",34,55
10,9,1,"792",34,55
10,10,1,"792",34,55
10,11,1,"792",34,55
10,12,1,"792",34,55
10,13,1,"792",34,55
10,14,1,"792",34,55
10,15,1,"792",34,55
10,16,1,"792",34,55
10,17,1,"792",34,55
10,18,1,"792",34,55
10,19,1,"792",34,55
10,20,1,"792",34,55
10,21,1,"792",34,55
10,22,1,"792",34,55
10,23,1,"792",34,55
10,24,1,"792",34,55
10,25,1,"792",34,55
10,26,1,"792",34,55
