"s0","n0","nparts","nunique","max_draws","log_nparts","log_nunique"
2,3,"1",1,10000,0,0
2,5,"2",2,10000,0.693147180559945,0.693147180559945
3,5,"2",2,10000,0.693147180559945,0.693147180559945
2,8,"4",4,10000,1.38629436111989,1.38629436111989
3,8,"5",5,10000,1.6094379124341,1.6094379124341
5,8,"3",3,10000,1.09861228866811,1.09861228866811
2,13,"6",6,10000,1.79175946922805,1.79175946922805
3,13,"14",14,10000,2.63905732961526,2.63905732961526
5,13,"18",18,10000,2.89037175789616,2.89037175789616
8,13,"7",7,10000,1.94591014905531,1.94591014905531
2,21,"10",10,10000,2.30258509299405,2.30258509299405
3,21,"37",37,10000,3.61091791264422,3.61091791264422
5,21,"101",101,10000,4.61512051684126,4.61512051684126
8,21,"89",89,10000,4.48863636973214,4.48863636973214
13,21,"22",22,10000,3.09104245335832,3.09104245335832
2,34,"17",17,10000,2.83321334405622,2.83321334405622
3,34,"96",96,10000,4.56434819146784,4.56434819146784
5,34,"603",603,10000,6.40191719672719,6.40191719672719
8,34,"1297",1297,10000,7.16780918431644,7.16780918431644
13,34,"747",747,10000,6.61606518513282,6.61606518513282
21,34,"101",101,10000,4.61512051684126,4.61512051684126
2,55,"27",27,10000,3.29583686600433,3.29583686600433
3,55,"252",252,10000,5.52942908751142,5.52942908751142
5,55,"3765",3497,10000,8.23350314023399,8.15966073706338
8,55,"22122",8001,10000,10.0043278674622,8.98732181285012
13,55,"35452",8701,10000,10.4759349478583,9.07119324056602
21,55,"12038",6841,10000,9.39582359210772,8.830689198761
34,55,"792",792,10000,6.67456139181443,6.67456139181443
2,91,"45",45,10000,3.80666248977032,3.80666248977032
3,91,"690",690,10000,6.5366915975913,6.5366915975913
5,91,"26455",8295,10000,10.1832004553382,9.02340820262454
8,91,"509267",9906,10000,13.140727715957,9.20089591314818
13,91,"3100410",9983,10000,14.9470449187746,9.20863892533642
21,91,"3193032",9988,10000,14.9764814935697,9.20913965139966
34,91,"609646",9930,10000,13.3206337398252,9.20331575703922
55,91,"17977",7678,10000,9.79684844204642,8.94611437556074
2,149,"74",74,10000,4.30406509320417,4.30406509320417
3,149,"1850",1844,10000,7.52294091807237,7.51969240411654
5,149,"182702",9760,10000,12.1156116892137,9.18604767940714
8,149,"12464395",9994,10000,16.3383867378614,9.20974019190415
13,149,"372681359",10000,10000,19.7362343470999,9.21034037197618
21,149,"1656774044",10000,10000,21.2281382015782,9.21034037197618
34,149,"942333531",10000,10000,20.6638698367527,9.21034037197618
55,149,"92522935",10000,10000,18.3429671176951,9.21034037197618
91,149,"715220",9929,10000,13.4803454666563,9.20321504703359
2,245,"122",122,10000,4.80402104473326,4.80402104473326
3,245,"5002",4342,10000,8.51759311143756,8.37609035043824
5,245,"1302311",9964,10000,14.0796509365146,9.20673387638207
8,245,"343116894",10000,10000,19.6535817459053,9.21034037197618
13,245,"65905592635",10000,10000,24.911489140332,9.21034037197618
21,245,"2073871870690",10000,10000,28.3604384449895,9.21034037197618
34,245,"5508427361736",10000,10000,29.3373002830618,9.21034037197618
55,245,"1587802425731",10000,10000,28.0933720539671,9.21034037197618
91,245,"60347612270",10000,10000,24.8233872190014,9.21034037197618
149,245,"118114304",10000,10000,18.5871633915303,9.21034037197618
2,404,"202",202,10000,5.30826769740121,5.30826769740121
3,404,"13601",7048,10000,9.51789859843275,8.86049916761602
5,404,"9479319",9995,10000,16.0646230362079,9.2098402469345
8,404,"10236379151",10000,10000,23.0492137954919,9.21034037197618
13,404,"15663609975239",10000,10000,30.382361301971,9.21034037197618
21,404,"5828389627334616",10000,10000,36.3015171353904,9.21034037197618
34,404,"146654545794032872",10000,10000,39.5268561874264,9.21034037197618
55,404,"188230052827681570",10000,10000,39.7764412949017,9.21034037197618
91,404,"22714041311495409",10000,10000,37.6617596881464,9.21034037197618
149,404,"338851247133583",10000,10000,33.4565823279926,9.21034037197618
