"sim","rank","abund","nparts","s0","n0"
1,1,208,"100284",3,1097
1,2,398,"100284",3,1097
1,3,491,"100284",3,1097
2,1,140,"100284",3,1097
2,2,431,"100284",3,1097
2,3,526,"100284",3,1097
3,1,286,"100284",3,1097
3,2,320,"100284",3,1097
3,3,491,"100284",3,1097
4,1,2,"100284",3,1097
4,2,361,"100284",3,1097
4,3,734,"100284",3,1097
5,1,97,"100284",3,1097
5,2,414,"100284",3,1097
5,3,586,"100284",3,1097
6,1,116,"100284",3,1097
6,2,469,"100284",3,1097
6,3,512,"100284",3,1097
7,1,4,"100284",3,1097
7,2,169,"100284",3,1097
7,3,924,"100284",3,1097
8,1,250,"100284",3,1097
8,2,307,"100284",3,1097
8,3,540,"100284",3,1097
9,1,20,"100284",3,1097
9,2,262,"100284",3,1097
9,3,815,"100284",3,1097
10,1,2,"100284",3,1097
10,2,142,"100284",3,1097
10,3,953,"100284",3,1097
11,1,282,"100284",3,1097
11,2,364,"100284",3,1097
11,3,451,"100284",3,1097
12,1,165,"100284",3,1097
12,2,239,"100284",3,1097
12,3,693,"100284",3,1097
13,1,163,"100284",3,1097
13,2,269,"100284",3,1097
13,3,665,"100284",3,1097
14,1,53,"100284",3,1097
14,2,118,"100284",3,1097
14,3,926,"100284",3,1097
15,1,104,"100284",3,1097
15,2,340,"100284",3,1097
15,3,653,"100284",3,1097
16,1,137,"100284",3,1097
16,2,170,"100284",3,1097
16,3,790,"100284",3,1097
17,1,250,"100284",3,1097
17,2,312,"100284",3,1097
17,3,535,"100284",3,1097
18,1,138,"100284",3,1097
18,2,221,"100284",3,1097
18,3,738,"100284",3,1097
19,1,179,"100284",3,1097
19,2,187,"100284",3,1097
19,3,731,"100284",3,1097
20,1,24,"100284",3,1097
20,2,471,"100284",3,1097
20,3,602,"100284",3,1097
21,1,29,"100284",3,1097
21,2,243,"100284",3,1097
21,3,825,"100284",3,1097
22,1,168,"100284",3,1097
22,2,310,"100284",3,1097
22,3,619,"100284",3,1097
23,1,108,"100284",3,1097
23,2,472,"100284",3,1097
23,3,517,"100284",3,1097
24,1,101,"100284",3,1097
24,2,210,"100284",3,1097
24,3,786,"100284",3,1097
25,1,186,"100284",3,1097
25,2,328,"100284",3,1097
25,3,583,"100284",3,1097
26,1,125,"100284",3,1097
26,2,440,"100284",3,1097
26,3,532,"100284",3,1097
27,1,249,"100284",3,1097
27,2,288,"100284",3,1097
27,3,560,"100284",3,1097
28,1,7,"100284",3,1097
28,2,452,"100284",3,1097
28,3,638,"100284",3,1097
29,1,171,"100284",3,1097
29,2,222,"100284",3,1097
29,3,704,"100284",3,1097
30,1,55,"100284",3,1097
30,2,383,"100284",3,1097
30,3,659,"100284",3,1097
31,1,55,"100284",3,1097
31,2,420,"100284",3,1097
31,3,622,"100284",3,1097
32,1,309,"100284",3,1097
32,2,322,"100284",3,1097
32,3,466,"100284",3,1097
33,1,149,"100284",3,1097
33,2,196,"100284",3,1097
33,3,752,"100284",3,1097
34,1,43,"100284",3,1097
34,2,171,"100284",3,1097
34,3,883,"100284",3,1097
35,1,130,"100284",3,1097
35,2,471,"100284",3,1097
35,3,496,"100284",3,1097
36,1,47,"100284",3,1097
36,2,123,"100284",3,1097
36,3,927,"100284",3,1097
37,1,62,"100284",3,1097
37,2,224,"100284",3,1097
37,3,811,"100284",3,1097
38,1,180,"100284",3,1097
38,2,206,"100284",3,1097
38,3,711,"100284",3,1097
39,1,38,"100284",3,1097
39,2,396,"100284",3,1097
39,3,663,"100284",3,1097
40,1,43,"100284",3,1097
40,2,238,"100284",3,1097
40,3,816,"100284",3,1097
41,1,67,"100284",3,1097
41,2,354,"100284",3,1097
41,3,676,"100284",3,1097
42,1,244,"100284",3,1097
42,2,393,"100284",3,1097
42,3,460,"100284",3,1097
43,1,44,"100284",3,1097
43,2,272,"100284",3,1097
43,3,781,"100284",3,1097
44,1,177,"100284",3,1097
44,2,306,"100284",3,1097
44,3,614,"100284",3,1097
45,1,3,"100284",3,1097
45,2,302,"100284",3,1097
45,3,792,"100284",3,1097
46,1,258,"100284",3,1097
46,2,324,"100284",3,1097
46,3,515,"100284",3,1097
47,1,178,"100284",3,1097
47,2,298,"100284",3,1097
47,3,621,"100284",3,1097
48,1,70,"100284",3,1097
48,2,289,"100284",3,1097
48,3,738,"100284",3,1097
49,1,69,"100284",3,1097
49,2,323,"100284",3,1097
49,3,705,"100284",3,1097
50,1,91,"100284",3,1097
50,2,182,"100284",3,1097
50,3,824,"100284",3,1097
51,1,167,"100284",3,1097
51,2,181,"100284",3,1097
51,3,749,"100284",3,1097
52,1,14,"100284",3,1097
52,2,160,"100284",3,1097
